 1) residual u*:  3.942326468488577E-003
 2) residual u0:   6.66000000000000     
 3) eps:  1.000000000000000E-003 m:         138
 4) rho:  0.951056513593641     
    k    &    ||F-A*Uk||    &     rel.d        &     ||Uk-u*||    &     rel.error    &  ||Uk - Uk-1||   &    apost.er.     &    dash_rho_k
    1    &     0.658E+02    &     0.988E+01    &     0.935E+00    &     0.675E+00    &     0.818E+00    &     0.159E+02    &           NaN
    2    &     0.535E+02    &     0.803E+01    &     0.777E+00    &     0.561E+00    &     0.272E+00    &     0.529E+01    &     0.522E+00
    3    &     0.274E+02    &     0.412E+01    &     0.617E+00    &     0.445E+00    &     0.163E+00    &     0.316E+01    &     0.446E+00
    4    &     0.202E+02    &     0.303E+01    &     0.538E+00    &     0.388E+00    &     0.102E+00    &     0.198E+01    &     0.612E+00
    5    &     0.154E+02    &     0.231E+01    &     0.487E+00    &     0.352E+00    &     0.930E-01    &     0.181E+01    &     0.756E+00
    6    &     0.124E+02    &     0.187E+01    &     0.444E+00    &     0.321E+00    &     0.631E-01    &     0.123E+01    &     0.786E+00
    7    &     0.935E+01    &     0.140E+01    &     0.399E+00    &     0.288E+00    &     0.564E-01    &     0.110E+01    &     0.779E+00
    8    &     0.878E+01    &     0.132E+01    &     0.363E+00    &     0.262E+00    &     0.444E-01    &     0.862E+00    &     0.839E+00
    9    &     0.663E+01    &     0.995E+00    &     0.327E+00    &     0.236E+00    &     0.367E-01    &     0.713E+00    &     0.807E+00
   10    &     0.632E+01    &     0.949E+00    &     0.299E+00    &     0.216E+00    &     0.319E-01    &     0.619E+00    &     0.848E+00
   11    &     0.518E+01    &     0.778E+00    &     0.273E+00    &     0.197E+00    &     0.285E-01    &     0.553E+00    &     0.880E+00
   12    &     0.468E+01    &     0.702E+00    &     0.254E+00    &     0.183E+00    &     0.235E-01    &     0.457E+00    &     0.859E+00
   13    &     0.408E+01    &     0.612E+00    &     0.237E+00    &     0.171E+00    &     0.224E-01    &     0.435E+00    &     0.887E+00
   14    &     0.357E+01    &     0.537E+00    &     0.224E+00    &     0.161E+00    &     0.180E-01    &     0.350E+00    &     0.874E+00
   15    &     0.324E+01    &     0.487E+00    &     0.209E+00    &     0.151E+00    &     0.178E-01    &     0.346E+00    &     0.891E+00
   16    &     0.298E+01    &     0.447E+00    &     0.197E+00    &     0.142E+00    &     0.150E-01    &     0.291E+00    &     0.912E+00
   17    &     0.261E+01    &     0.392E+00    &     0.184E+00    &     0.133E+00    &     0.143E-01    &     0.278E+00    &     0.897E+00
   18    &     0.249E+01    &     0.374E+00    &     0.173E+00    &     0.125E+00    &     0.125E-01    &     0.243E+00    &     0.914E+00
   19    &     0.213E+01    &     0.320E+00    &     0.162E+00    &     0.117E+00    &     0.116E-01    &     0.226E+00    &     0.902E+00
   20    &     0.209E+01    &     0.314E+00    &     0.153E+00    &     0.111E+00    &     0.105E-01    &     0.204E+00    &     0.917E+00
   21    &     0.180E+01    &     0.270E+00    &     0.144E+00    &     0.104E+00    &     0.958E-02    &     0.186E+00    &     0.907E+00
   22    &     0.177E+01    &     0.266E+00    &     0.136E+00    &     0.978E-01    &     0.888E-02    &     0.173E+00    &     0.919E+00
   23    &     0.156E+01    &     0.235E+00    &     0.127E+00    &     0.918E-01    &     0.831E-02    &     0.161E+00    &     0.931E+00
   24    &     0.151E+01    &     0.226E+00    &     0.120E+00    &     0.868E-01    &     0.756E-02    &     0.147E+00    &     0.922E+00
   25    &     0.136E+01    &     0.205E+00    &     0.113E+00    &     0.816E-01    &     0.723E-02    &     0.141E+00    &     0.933E+00
   26    &     0.129E+01    &     0.194E+00    &     0.107E+00    &     0.772E-01    &     0.647E-02    &     0.126E+00    &     0.925E+00
   27    &     0.119E+01    &     0.179E+00    &     0.101E+00    &     0.728E-01    &     0.632E-02    &     0.123E+00    &     0.935E+00
   28    &     0.111E+01    &     0.167E+00    &     0.956E-01    &     0.690E-01    &     0.557E-02    &     0.108E+00    &     0.928E+00
   29    &     0.104E+01    &     0.157E+00    &     0.907E-01    &     0.655E-01    &     0.554E-02    &     0.108E+00    &     0.936E+00
   30    &     0.984E+00    &     0.148E+00    &     0.865E-01    &     0.625E-01    &     0.493E-02    &     0.957E-01    &     0.940E+00
   31    &     0.919E+00    &     0.138E+00    &     0.821E-01    &     0.593E-01    &     0.487E-02    &     0.946E-01    &     0.938E+00
   32    &     0.879E+00    &     0.132E+00    &     0.783E-01    &     0.565E-01    &     0.440E-02    &     0.855E-01    &     0.945E+00
   33    &     0.811E+00    &     0.122E+00    &     0.743E-01    &     0.536E-01    &     0.430E-02    &     0.835E-01    &     0.939E+00
   34    &     0.786E+00    &     0.118E+00    &     0.709E-01    &     0.512E-01    &     0.394E-02    &     0.765E-01    &     0.946E+00
   35    &     0.718E+00    &     0.108E+00    &     0.672E-01    &     0.485E-01    &     0.380E-02    &     0.739E-01    &     0.941E+00
   36    &     0.704E+00    &     0.106E+00    &     0.641E-01    &     0.463E-01    &     0.352E-02    &     0.685E-01    &     0.946E+00
   37    &     0.637E+00    &     0.957E-01    &     0.608E-01    &     0.439E-01    &     0.337E-02    &     0.655E-01    &     0.942E+00
   38    &     0.631E+00    &     0.948E-01    &     0.580E-01    &     0.419E-01    &     0.316E-02    &     0.614E-01    &     0.947E+00
   39    &     0.567E+00    &     0.851E-01    &     0.550E-01    &     0.397E-01    &     0.300E-02    &     0.583E-01    &     0.943E+00
   40    &     0.566E+00    &     0.851E-01    &     0.525E-01    &     0.379E-01    &     0.283E-02    &     0.551E-01    &     0.947E+00
   41    &     0.513E+00    &     0.770E-01    &     0.498E-01    &     0.359E-01    &     0.269E-02    &     0.523E-01    &     0.947E+00
   42    &     0.509E+00    &     0.764E-01    &     0.475E-01    &     0.343E-01    &     0.255E-02    &     0.495E-01    &     0.948E+00
   43    &     0.464E+00    &     0.697E-01    &     0.450E-01    &     0.325E-01    &     0.244E-02    &     0.473E-01    &     0.951E+00
   44    &     0.458E+00    &     0.687E-01    &     0.429E-01    &     0.310E-01    &     0.229E-02    &     0.445E-01    &     0.948E+00
   45    &     0.420E+00    &     0.630E-01    &     0.407E-01    &     0.294E-01    &     0.220E-02    &     0.428E-01    &     0.951E+00
   46    &     0.412E+00    &     0.618E-01    &     0.388E-01    &     0.280E-01    &     0.206E-02    &     0.400E-01    &     0.949E+00
