 1) residual u*:  3.947318751077677E-003
 2) residual u0:   7.86060000000000     
 3) eps:  1.000000000000000E-003 m:       13996
 4) rho:  0.999506560338271     
    k    &    ||F-A*Uk||    &     rel.d        &     ||Uk-u*||    &     rel.error    &  ||Uk - Uk-1||   &    apost.er.     &    dash_rho_k
    1    &     0.965E+04    &     0.123E+04    &     0.186E+01    &     0.965E+00    &     0.982E+00    &     0.199E+04    &           NaN
    2    &     0.728E+04    &     0.926E+03    &     0.180E+01    &     0.931E+00    &     0.365E+00    &     0.739E+03    &     0.604E+00
    3    &     0.421E+04    &     0.536E+03    &     0.174E+01    &     0.902E+00    &     0.241E+00    &     0.489E+03    &     0.496E+00
    4    &     0.301E+04    &     0.383E+03    &     0.172E+01    &     0.891E+00    &     0.164E+00    &     0.333E+03    &     0.671E+00
    5    &     0.252E+04    &     0.321E+03    &     0.169E+01    &     0.876E+00    &     0.150E+00    &     0.303E+03    &     0.788E+00
    6    &     0.227E+04    &     0.289E+03    &     0.166E+01    &     0.860E+00    &     0.114E+00    &     0.231E+03    &     0.833E+00
    7    &     0.180E+04    &     0.230E+03    &     0.165E+01    &     0.853E+00    &     0.976E-01    &     0.198E+03    &     0.808E+00
    8    &     0.170E+04    &     0.216E+03    &     0.163E+01    &     0.842E+00    &     0.849E-01    &     0.172E+03    &     0.864E+00
    9    &     0.144E+04    &     0.184E+03    &     0.160E+01    &     0.831E+00    &     0.771E-01    &     0.156E+03    &     0.888E+00
   10    &     0.129E+04    &     0.165E+03    &     0.159E+01    &     0.822E+00    &     0.660E-01    &     0.134E+03    &     0.881E+00
   11    &     0.118E+04    &     0.151E+03    &     0.158E+01    &     0.816E+00    &     0.636E-01    &     0.129E+03    &     0.909E+00
   12    &     0.110E+04    &     0.139E+03    &     0.156E+01    &     0.808E+00    &     0.549E-01    &     0.111E+03    &     0.913E+00
   13    &     0.979E+03    &     0.125E+03    &     0.154E+01    &     0.800E+00    &     0.527E-01    &     0.107E+03    &     0.910E+00
   14    &     0.953E+03    &     0.121E+03    &     0.153E+01    &     0.793E+00    &     0.477E-01    &     0.967E+02    &     0.932E+00
   15    &     0.852E+03    &     0.108E+03    &     0.152E+01    &     0.786E+00    &     0.441E-01    &     0.893E+02    &     0.915E+00
   16    &     0.828E+03    &     0.105E+03    &     0.151E+01    &     0.781E+00    &     0.415E-01    &     0.841E+02    &     0.932E+00
   17    &     0.758E+03    &     0.964E+02    &     0.150E+01    &     0.775E+00    &     0.393E-01    &     0.796E+02    &     0.944E+00
   18    &     0.723E+03    &     0.920E+02    &     0.149E+01    &     0.769E+00    &     0.362E-01    &     0.734E+02    &     0.934E+00
   19    &     0.681E+03    &     0.866E+02    &     0.147E+01    &     0.763E+00    &     0.354E-01    &     0.716E+02    &     0.949E+00
   20    &     0.639E+03    &     0.813E+02    &     0.146E+01    &     0.757E+00    &     0.325E-01    &     0.658E+02    &     0.947E+00
   21    &     0.612E+03    &     0.778E+02    &     0.145E+01    &     0.752E+00    &     0.318E-01    &     0.645E+02    &     0.949E+00
   22    &     0.589E+03    &     0.749E+02    &     0.144E+01    &     0.747E+00    &     0.295E-01    &     0.598E+02    &     0.953E+00
   23    &     0.551E+03    &     0.701E+02    &     0.143E+01    &     0.743E+00    &     0.287E-01    &     0.582E+02    &     0.950E+00
   24    &     0.542E+03    &     0.689E+02    &     0.143E+01    &     0.738E+00    &     0.272E-01    &     0.550E+02    &     0.959E+00
   25    &     0.507E+03    &     0.645E+02    &     0.142E+01    &     0.734E+00    &     0.260E-01    &     0.526E+02    &     0.951E+00
   26    &     0.499E+03    &     0.634E+02    &     0.141E+01    &     0.729E+00    &     0.250E-01    &     0.506E+02    &     0.959E+00
   27    &     0.469E+03    &     0.596E+02    &     0.140E+01    &     0.724E+00    &     0.240E-01    &     0.485E+02    &     0.961E+00
   28    &     0.459E+03    &     0.584E+02    &     0.139E+01    &     0.720E+00    &     0.230E-01    &     0.466E+02    &     0.960E+00
   29    &     0.438E+03    &     0.557E+02    &     0.138E+01    &     0.716E+00    &     0.224E-01    &     0.454E+02    &     0.967E+00
   30    &     0.424E+03    &     0.539E+02    &     0.138E+01    &     0.712E+00    &     0.212E-01    &     0.430E+02    &     0.961E+00
   31    &     0.409E+03    &     0.521E+02    &     0.137E+01    &     0.709E+00    &     0.210E-01    &     0.425E+02    &     0.967E+00
   32    &     0.393E+03    &     0.501E+02    &     0.136E+01    &     0.705E+00    &     0.199E-01    &     0.402E+02    &     0.967E+00
   33    &     0.383E+03    &     0.487E+02    &     0.135E+01    &     0.701E+00    &     0.196E-01    &     0.397E+02    &     0.967E+00
   34    &     0.372E+03    &     0.474E+02    &     0.135E+01    &     0.697E+00    &     0.187E-01    &     0.378E+02    &     0.969E+00
   35    &     0.358E+03    &     0.455E+02    &     0.134E+01    &     0.693E+00    &     0.184E-01    &     0.372E+02    &     0.968E+00
   36    &     0.352E+03    &     0.448E+02    &     0.133E+01    &     0.690E+00    &     0.177E-01    &     0.358E+02    &     0.973E+00
   37    &     0.337E+03    &     0.428E+02    &     0.133E+01    &     0.687E+00    &     0.172E-01    &     0.349E+02    &     0.968E+00
   38    &     0.333E+03    &     0.424E+02    &     0.132E+01    &     0.683E+00    &     0.167E-01    &     0.338E+02    &     0.973E+00
   39    &     0.319E+03    &     0.405E+02    &     0.131E+01    &     0.680E+00    &     0.161E-01    &     0.327E+02    &     0.968E+00
   40    &     0.315E+03    &     0.401E+02    &     0.131E+01    &     0.677E+00    &     0.158E-01    &     0.320E+02    &     0.973E+00
   41    &     0.303E+03    &     0.386E+02    &     0.130E+01    &     0.674E+00    &     0.154E-01    &     0.312E+02    &     0.977E+00
   42    &     0.299E+03    &     0.380E+02    &     0.129E+01    &     0.671E+00    &     0.150E-01    &     0.303E+02    &     0.973E+00
   43    &     0.289E+03    &     0.368E+02    &     0.129E+01    &     0.667E+00    &     0.147E-01    &     0.298E+02    &     0.977E+00
   44    &     0.283E+03    &     0.360E+02    &     0.128E+01    &     0.664E+00    &     0.142E-01    &     0.287E+02    &     0.973E+00
   45    &     0.276E+03    &     0.351E+02    &     0.128E+01    &     0.661E+00    &     0.140E-01    &     0.284E+02    &     0.977E+00
   46    &     0.268E+03    &     0.341E+02    &     0.127E+01    &     0.658E+00    &     0.135E-01    &     0.274E+02    &     0.976E+00
   47    &     0.263E+03    &     0.335E+02    &     0.127E+01    &     0.656E+00    &     0.134E-01    &     0.271E+02    &     0.977E+00
   48    &     0.257E+03    &     0.327E+02    &     0.126E+01    &     0.653E+00    &     0.129E-01    &     0.261E+02    &     0.977E+00
   49    &     0.251E+03    &     0.320E+02    &     0.125E+01    &     0.650E+00    &     0.128E-01    &     0.259E+02    &     0.977E+00
   50    &     0.247E+03    &     0.315E+02    &     0.125E+01    &     0.647E+00    &     0.124E-01    &     0.251E+02    &     0.980E+00
   51    &     0.240E+03    &     0.306E+02    &     0.124E+01    &     0.645E+00    &     0.122E-01    &     0.247E+02    &     0.977E+00
   52    &     0.238E+03    &     0.302E+02    &     0.124E+01    &     0.642E+00    &     0.119E-01    &     0.241E+02    &     0.980E+00
   53    &     0.230E+03    &     0.293E+02    &     0.123E+01    &     0.639E+00    &     0.117E-01    &     0.237E+02    &     0.978E+00
   54    &     0.228E+03    &     0.291E+02    &     0.123E+01    &     0.637E+00    &     0.114E-01    &     0.232E+02    &     0.980E+00
   55    &     0.221E+03    &     0.281E+02    &     0.122E+01    &     0.634E+00    &     0.112E-01    &     0.226E+02    &     0.978E+00
   56    &     0.220E+03    &     0.279E+02    &     0.122E+01    &     0.632E+00    &     0.110E-01    &     0.223E+02    &     0.980E+00
   57    &     0.213E+03    &     0.271E+02    &     0.121E+01    &     0.629E+00    &     0.108E-01    &     0.218E+02    &     0.983E+00
   58    &     0.211E+03    &     0.269E+02    &     0.121E+01    &     0.627E+00    &     0.106E-01    &     0.214E+02    &     0.980E+00
   59    &     0.206E+03    &     0.262E+02    &     0.121E+01    &     0.624E+00    &     0.104E-01    &     0.211E+02    &     0.983E+00
   60    &     0.203E+03    &     0.258E+02    &     0.120E+01    &     0.622E+00    &     0.102E-01    &     0.206E+02    &     0.981E+00
   61    &     0.199E+03    &     0.253E+02    &     0.120E+01    &     0.619E+00    &     0.101E-01    &     0.204E+02    &     0.983E+00
   62    &     0.195E+03    &     0.248E+02    &     0.119E+01    &     0.617E+00    &     0.979E-02    &     0.198E+02    &     0.981E+00
   63    &     0.192E+03    &     0.245E+02    &     0.119E+01    &     0.615E+00    &     0.973E-02    &     0.197E+02    &     0.983E+00
   64    &     0.188E+03    &     0.239E+02    &     0.118E+01    &     0.613E+00    &     0.946E-02    &     0.192E+02    &     0.983E+00
   65    &     0.186E+03    &     0.236E+02    &     0.118E+01    &     0.611E+00    &     0.940E-02    &     0.190E+02    &     0.983E+00
   66    &     0.183E+03    &     0.232E+02    &     0.117E+01    &     0.608E+00    &     0.915E-02    &     0.185E+02    &     0.984E+00
   67    &     0.180E+03    &     0.228E+02    &     0.117E+01    &     0.606E+00    &     0.909E-02    &     0.184E+02    &     0.983E+00
   68    &     0.177E+03    &     0.225E+02    &     0.117E+01    &     0.604E+00    &     0.888E-02    &     0.180E+02    &     0.985E+00
   69    &     0.174E+03    &     0.221E+02    &     0.116E+01    &     0.602E+00    &     0.879E-02    &     0.178E+02    &     0.983E+00
   70    &     0.172E+03    &     0.219E+02    &     0.116E+01    &     0.600E+00    &     0.862E-02    &     0.175E+02    &     0.985E+00
   71    &     0.168E+03    &     0.213E+02    &     0.115E+01    &     0.598E+00    &     0.850E-02    &     0.172E+02    &     0.983E+00
   72    &     0.167E+03    &     0.212E+02    &     0.115E+01    &     0.596E+00    &     0.836E-02    &     0.169E+02    &     0.985E+00
   73    &     0.163E+03    &     0.207E+02    &     0.115E+01    &     0.594E+00    &     0.822E-02    &     0.166E+02    &     0.983E+00
   74    &     0.162E+03    &     0.206E+02    &     0.114E+01    &     0.592E+00    &     0.812E-02    &     0.164E+02    &     0.985E+00
   75    &     0.158E+03    &     0.201E+02    &     0.114E+01    &     0.589E+00    &     0.797E-02    &     0.161E+02    &     0.985E+00
   76    &     0.157E+03    &     0.200E+02    &     0.113E+01    &     0.587E+00    &     0.788E-02    &     0.160E+02    &     0.985E+00
   77    &     0.154E+03    &     0.196E+02    &     0.113E+01    &     0.585E+00    &     0.776E-02    &     0.157E+02    &     0.987E+00
   78    &     0.153E+03    &     0.194E+02    &     0.113E+01    &     0.584E+00    &     0.765E-02    &     0.155E+02    &     0.985E+00
   79    &     0.150E+03    &     0.191E+02    &     0.112E+01    &     0.582E+00    &     0.756E-02    &     0.153E+02    &     0.987E+00
