 1) residual u*:  4.076738946423575E-013
 2) residual u0:   7.31500000000000     
 3) eps:  1.000000000000000E-003 m:         279
 4) rho:  0.987688339911341     
    k    &    ||F-A*Uk||    &     rel.d        &     ||Uk-u*||    &     rel.error    &  ||Uk - Uk-1||   &    apost.er.     &    dash_rho_k
    1    &     0.136E-12    &     0.186E-13    &     0.139E+01    &     0.833E+00    &     0.118E+01    &     0.944E+02    &           NaN
    2    &     0.347E-12    &     0.475E-13    &     0.115E+01    &     0.688E+00    &     0.436E+00    &     0.350E+02    &     0.661E+00
    3    &     0.281E-12    &     0.384E-13    &     0.106E+01    &     0.631E+00    &     0.315E+00    &     0.253E+02    &     0.518E+00
    4    &     0.290E-12    &     0.396E-13    &     0.931E+00    &     0.557E+00    &     0.190E+00    &     0.152E+02    &     0.660E+00
    5    &     0.451E-12    &     0.617E-13    &     0.869E+00    &     0.520E+00    &     0.139E+00    &     0.112E+02    &     0.665E+00
    6    &     0.478E-12    &     0.653E-13    &     0.806E+00    &     0.482E+00    &     0.116E+00    &     0.928E+01    &     0.781E+00
    7    &     0.263E-12    &     0.359E-13    &     0.736E+00    &     0.441E+00    &     0.928E-01    &     0.745E+01    &     0.817E+00
    8    &     0.393E-12    &     0.537E-13    &     0.689E+00    &     0.412E+00    &     0.746E-01    &     0.598E+01    &     0.803E+00
    9    &     0.669E-12    &     0.914E-13    &     0.653E+00    &     0.391E+00    &     0.633E-01    &     0.508E+01    &     0.826E+00
   10    &     0.451E-12    &     0.617E-13    &     0.615E+00    &     0.368E+00    &     0.552E-01    &     0.443E+01    &     0.860E+00
   11    &     0.498E-12    &     0.681E-13    &     0.578E+00    &     0.346E+00    &     0.489E-01    &     0.392E+01    &     0.879E+00
   12    &     0.280E-12    &     0.382E-13    &     0.544E+00    &     0.325E+00    &     0.432E-01    &     0.346E+01    &     0.885E+00
   13    &     0.498E-12    &     0.681E-13    &     0.515E+00    &     0.308E+00    &     0.381E-01    &     0.306E+01    &     0.883E+00
   14    &     0.551E-12    &     0.753E-13    &     0.493E+00    &     0.295E+00    &     0.338E-01    &     0.271E+01    &     0.885E+00
   15    &     0.451E-12    &     0.617E-13    &     0.471E+00    &     0.282E+00    &     0.305E-01    &     0.245E+01    &     0.894E+00
   16    &     0.490E-12    &     0.670E-13    &     0.449E+00    &     0.269E+00    &     0.277E-01    &     0.222E+01    &     0.905E+00
   17    &     0.352E-12    &     0.481E-13    &     0.428E+00    &     0.256E+00    &     0.255E-01    &     0.205E+01    &     0.914E+00
