 1) residual u*:  2.193800696659309E-013
 2) residual u0:   7.31500000000000     
 3) eps:  1.000000000000000E-003 m:         414
 4) rho:  0.987763664711741     
    k    &    ||F-A*Uk||    &     rel.d        &     ||Uk-u*||    &     rel.error    &  ||Uk - Uk-1||   &    apost.er.     &    dash_rho_k
    1    &     0.146E+04    &     0.199E+03    &     0.481E+00    &     0.288E+00    &     0.121E+01    &     0.980E+02    &           NaN
    2    &     0.368E+03    &     0.502E+02    &     0.194E+00    &     0.116E+00    &     0.343E+00    &     0.277E+02    &     0.586E+00
    3    &     0.806E+02    &     0.110E+02    &     0.105E+00    &     0.629E-01    &     0.104E+00    &     0.842E+01    &     0.293E+00
    4    &     0.135E+02    &     0.184E+01    &     0.602E-01    &     0.360E-01    &     0.481E-01    &     0.388E+01    &     0.374E+00
    5    &     0.323E+01    &     0.442E+00    &     0.379E-01    &     0.227E-01    &     0.240E-01    &     0.194E+01    &     0.480E+00
    6    &     0.236E+01    &     0.323E+00    &     0.238E-01    &     0.142E-01    &     0.145E-01    &     0.117E+01    &     0.548E+00
    7    &     0.107E+01    &     0.147E+00    &     0.157E-01    &     0.938E-02    &     0.848E-02    &     0.684E+00    &     0.595E+00
    8    &     0.120E+01    &     0.163E+00    &     0.102E-01    &     0.611E-02    &     0.548E-02    &     0.442E+00    &     0.616E+00
    9    &     0.549E+00    &     0.750E-01    &     0.681E-02    &     0.407E-02    &     0.346E-02    &     0.279E+00    &     0.639E+00
   10    &     0.610E+00    &     0.834E-01    &     0.454E-02    &     0.271E-02    &     0.231E-02    &     0.187E+00    &     0.650E+00
   11    &     0.293E+00    &     0.400E-01    &     0.306E-02    &     0.183E-02    &     0.149E-02    &     0.121E+00    &     0.657E+00
   12    &     0.316E+00    &     0.432E-01    &     0.204E-02    &     0.122E-02    &     0.102E-02    &     0.821E-01    &     0.663E+00
   13    &     0.160E+00    &     0.218E-01    &     0.138E-02    &     0.824E-03    &     0.663E-03    &     0.535E-01    &     0.666E+00
   14    &     0.163E+00    &     0.223E-01    &     0.919E-03    &     0.550E-03    &     0.459E-03    &     0.370E-01    &     0.672E+00
   15    &     0.892E-01    &     0.122E-01    &     0.624E-03    &     0.373E-03    &     0.346E-03    &     0.279E-01    &     0.723E+00
   16    &     0.850E-01    &     0.116E-01    &     0.414E-03    &     0.248E-03    &     0.215E-03    &     0.174E-01    &     0.685E+00
   17    &     0.499E-01    &     0.682E-02    &     0.284E-03    &     0.170E-03    &     0.183E-03    &     0.147E-01    &     0.726E+00
   18    &     0.448E-01    &     0.612E-02    &     0.187E-03    &     0.112E-03    &     0.116E-03    &     0.936E-02    &     0.734E+00
   19    &     0.279E-01    &     0.381E-02    &     0.129E-03    &     0.774E-04    &     0.965E-04    &     0.779E-02    &     0.727E+00
